title,type,address,assignee,annote,author,booktitle,chapter,day,dayfiled,edition,editor,howpublished,institution,journal,language,month,monthfiled,nationality,note,number,organization,pages,publisher,revision,school,series,rtitle, ,volume,year,yearfiled,url,custom1,custom2,custom3,custom4,custom5,isbn
Marchese2009,6,,,,"Marchese, Francis T.","Proceedings of Vis 2009 (Atlantic City, {NJ}), Conference {DVD}",,,,,,,,,,,,,,,,,"{IEEE} Computer Society Washington, {DC}",,,,Asynchronous collaborative visualization on a stick,,,2009,,https://www.researchgate.net/profile/Francis_Marchese/publication/228366401_Asynchronous_Collaborative_Visualization_on_a_Stick/links/09e4150c32bfec2345000000.pdf,bibtex,,,,,
Marchese2009a,6,,,,"Marchese, Francis T.","Proceedings of Vis 2009 (Atlantic City, {NJ}), Conference {DVD}",,,,,,,,,,,,,,,,,"{IEEE} Computer Society Washington, {DC}",,,,Asynchronous collaborative visualization on a stick,,,2009,,https://www.researchgate.net/profile/Francis_Marchese/publication/228366401_Asynchronous_Collaborative_Visualization_on_a_Stick/links/09e4150c32bfec2345000000.pdf,bibtex,,,,,
Marchese2009b,6,,,,"Marchese, Francis T.","Proceedings of Vis 2009 (Atlantic City, {NJ}), Conference {DVD}",,,,,,,,,,,,,,,,,"{IEEE} Computer Society Washington, {DC}",,,,Asynchronous collaborative visualization on a stick,,,2009,,https://www.researchgate.net/profile/Francis_Marchese/publication/228366401_Asynchronous_Collaborative_Visualization_on_a_Stick/links/09e4150c32bfec2345000000.pdf,bibtex,,,,,
Millard2006,6,,,,"Millard, David E. and Ross, Martin",Proceedings of the seventeenth conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,27--30,{ACM},,,,Web 2.0: hypertext by any other name?,,,2006,,http://dl.acm.org/citation.cfm?id=1149947,bibtex,,,,,
Millard2006a,6,,,,"Millard, David E. and Ross, Martin",Proceedings of the seventeenth conference on Hypertext and hypermedia,,,,,,,,,,,,,,,,27--30,{ACM},,,,Web 2.0: hypertext by any other name?,,,2006,,http://dl.acm.org/citation.cfm?id=1149947,bibtex,,,,,
Montaner2013,6,,,,"Montaner, David and Garcıa-Garcıa, Francisco","The R User Conference, {useR}! 2013 July 10-12 2013 University of Castilla-La Mancha, Albacete, Spain",,,,,,,,,,,,,,,,126,,,,,TiddlyWikiR: an R package for dynamic report writing.,,10,2013,,https://www.researchgate.net/profile/Selcuk_Korkmaz/publication/273333674_bbRVM_an_R_package_for_Ensemble_Classification_Approaches_of_Relevance_Vector_Machines/links/54fed6cf0cf2741b69f1787b.pdf#page=126,bibtex,,,,,
Montaner2013a,6,,,,"Montaner, David and Garcıa-Garcıa, Francisco","The R User Conference, {useR}! 2013 July 10-12 2013 University of Castilla-La Mancha, Albacete, Spain",,,,,,,,,,,,,,,,126,,,,,TiddlyWikiR: an R package for dynamic report writing.,,10,2013,,https://www.researchgate.net/profile/Selcuk_Korkmaz/publication/273333674_bbRVM_an_R_package_for_Ensemble_Classification_Approaches_of_Relevance_Vector_Machines/links/54fed6cf0cf2741b69f1787b.pdf#page=126,bibtex,,,,,
Montaner2013b,6,,,,"Montaner, David and Garcıa-Garcıa, Francisco","The R User Conference, {useR}! 2013 July 10-12 2013 University of Castilla-La Mancha, Albacete, Spain",,,,,,,,,,,,,,,,126,,,,,TiddlyWikiR: an R package for dynamic report writing.,,10,2013,,https://www.researchgate.net/profile/Selcuk_Korkmaz/publication/273333674_bbRVM_an_R_package_for_Ensemble_Classification_Approaches_of_Relevance_Vector_Machines/links/54fed6cf0cf2741b69f1787b.pdf#page=126,bibtex,,,,,
Morris2007,6,,,,"Morris, Joseph C.",Proceedings of the 2007 international symposium on Wikis,,,,,,,,,,,,,,,,69--74,{ACM},,,,DistriWiki:: a distributed peer-to-peer wiki network,,,2007,,http://dl.acm.org/citation.cfm?id=1296959,bibtex,,,,,
Morris2007a,6,,,,"Morris, Joseph C.",Proceedings of the 2007 international symposium on Wikis,,,,,,,,,,,,,,,,69--74,{ACM},,,,DistriWiki:: a distributed peer-to-peer wiki network,,,2007,,http://dl.acm.org/citation.cfm?id=1296959,bibtex,,,,,
